Year,All causes of death,Certain infectious and parasitic diseases,Diseases of the blood and blood-forming organs,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Certain conditions originating in the perinatal period,Congenital malformations and chromosomal abnormalities,Accidents,Intentional self-harm
1960,1711982,21293,3330,42995,4487,14733,923635,94260,66484,67094,21860,93806,19041
1961,1701522,19972,3280,42616,4465,14239,924622,82676,67303,65679,21922,92249,18999
1962,1756720,19682,3398,43726,4375,14668,957437,90244,70350,64205,21192,97139,20207
1963,1813549,19642,3409,45333,4656,14559,983504,105369,71718,62688,20817,100669,20825
1964,1798051,18424,3516,45309,4745,14675,973182,93963,70990,60322,20288,103843,20588
1965,1828136,17775,3539,46158,4988,14856,990192,99827,71900,55398,19512,108004,21507
1966,1863149,17255,3452,47549,5578,15115,1010812,103679,73717,51644,18158,113563,21281
1967,1851323,16208,3460,47732,5663,14736,1002111,97763,74212,48314,17328,113169,21325
1968,1930082,17776,5008,46354,6628,16439,1040292,123440,73718,43840,16793,114864,21372
1969,1921990,16791,4921,46543,6722,16921,1029363,116457,73926,43171,17008,116385,22364
1970,1921031,16649,5041,46259,7172,17130,1024501,112578,74407,43205,16824,114638,23480
1971,1927542,16027,5189,46163,8415,15988,1033811,108068,74245,38495,15957,113439,24092
1972,1963944,15618,5232,46950,8678,16802,1052966,116136,74768,33798,14698,115448,25004
1973,1973003,15669,5251,46532,8860,16889,1055196,117537,75094,30503,14062,115821,25118
1974,1934388,15722,5354,45688,9603,17356,1028575,109303,73195,28786,13526,104622,25683
1975,1892879,15930,5269,43465,9622,16729,988073,111982,70382,26616,13245,103030,27063
1976,1909440,16553,5266,42847,9658,16776,991487,121105,69510,24809,13002,100761,26832
1977,1899597,16930,5387,41322,9926,17453,978527,110476,68731,23401,12983,103202,28681
1978,1927788,18042,5574,42493,10918,18113,982122,122057,67729,22033,12968,105561,27294
1979,1913841,15360,6201,43788,12704,20534,963037,111547,72135,23448,13526,102670,27206
1980,1989841,17288,6376,46360,14026,21744,993348,128828,75202,22866,13938,103281,26869
1981,1977981,18514,6367,45811,14573,22571,977694,131329,74103,21626,13527,98155,27596
1982,1974797,19475,6562,46043,14476,22934,972552,127754,72642,20794,13604,91497,28242
1983,2019201,21824,7162,48882,15917,26030,986132,142835,72621,19310,13173,89828,28295
1984,2039369,24500,7305,49544,16595,28306,978171,149686,73813,18881,13039,90283,29286
1985,2086440,28003,7691,53268,18598,30957,982739,166189,74805,19246,12783,90605,29453
1986,2105361,31623,7777,56545,19663,32965,972917,170938,74348,18391,12638,92208,30904
1987,2123323,43111,8117,65811,21374,35905,968434,172834,75451,18222,12333,91988,30796
1988,2167999,48093,8315,71871,24018,37018,973969,187006,76355,18220,12753,94062,30407
1989,2150466,52851,8590,84768,25192,38486,936157,187008,76121,18752,12897,92036,30232
1990,2148463,55612,9027,88764,25856,39368,920245,192205,75177,17674,13085,89148,30906
1991,2169518,60398,9313,95378,27149,40009,920482,195433,75558,16780,12599,86711,30810
1992,2175613,64618,9447,101077,29007,40443,917908,194312,75996,15730,12491,83952,30484
1993,2268553,70143,9709,109933,33516,45004,952210,212020,76746,15097,12444,87598,31102
1994,2278994,75300,9712,118279,37003,47900,944775,211523,77432,14487,12030,88649,31142
1995,2312132,77128,10197,122735,40718,51240,955591,215081,76861,13471,11891,90402,31284
1996,2314690,65791,10013,113897,44010,53821,954407,220368,77429,13069,11836,91776,30903
1997,2314245,52371,10251,101483,47481,56245,948412,227942,79069,13091,11912,92353,30535
1998,2337256,51252,10637,101584,52819,57762,944962,238999,79357,13428,11934,94331,30575
1999,2391399,59984,9067,92872,42128,84195,954337,229863,82876,14259,10393,97860,29180
2000,2403351,59007,9315,94345,46015,91140,941524,231079,84015,14069,10578,97900,29319
2001,2416425,60336,9535,96820,50811,96636,926999,230009,85833,13887,10442,101537,30549
2002,2443387,63981,9661,99457,55788,103173,923339,234629,86710,14255,10687,106742,31595
2003,2448288,64660,9584,100437,60058,109750,907177,235924,87741,14438,10518,109277,31422
2004,2397615,64618,9423,99013,61524,111855,865862,227085,86305,14293,10498,112012,32363
2005,2448017,66507,9590,103124,71466,120813,860842,239674,87366,14621,10410,117809,32559
2006,2426299,66993,8834,99207,91035,123078,827756,226662,87609,14442,10489,122325,33200
2007,2423895,66856,9745,99038,90279,127111,810321,227320,89159,14600,10424,123744,34533
2008,2471984,68432,9873,99326,104617,136738,808525,245099,91097,13933,10288,121902,35969
2009,2437942,69571,9646,98061,106243,134284,784950,238684,89454,13000,9856,118292,36840
2010,2469288,67592,9718,98962,120824,141232,784684,237467,91351,12130,9674,121053,38312
2011,2515458,68818,10107,105144,135949,145046,783475,248742,94096,12036,9702,126438,39442
2012,2543279,68409,10415,105926,147917,146311,787431,246311,95284,11917,9636,127792,40531
2013,2596993,70601,10166,109159,156415,151898,800918,261071,98383,12084,9583,130557,41060
2014,2626418,70413,10688,112737,151048,165524,807760,258333,100989,11896,9609,136053,42704